V01301 V04001 V04002 V13305 V10004_701 V12001_701 V13004_701 V13003_701 V14032 V13052
56778 1956 5 155.5000 808.3000 18.2000 16.1000 78.0000 150.8000 26.6000 
56778 1956 6 118.2000 806.9000 19.8000 17.7000 78.0000 145.0000 20.4000 
56778 1956 7 129.4000 808.1000 19.8000 18.0000 79.0000 182.7000 25.9000 
56778 1956 8 199.5000 808.4000 19.5000 17.8000 79.0000 180.8000 47.3000 
56778 1956 9 47.7000 810.9000 18.0000 15.2000 74.0000 188.3000 11.4000 
56778 1956 10 103.1000 814.9000 14.4000 13.1000 80.0000 135.7000 28.6000 
56778 1956 11 46.1000 814.8000 11.2000 10.9000 82.0000 128.4000 9.9000 
56778 1956 12 12.6000 813.5000 8.8000 8.2000 75.0000 253.3000 6.4000 
56778 1957 1 24.3000 810.5000 9.1000 7.1000 65.0000 282.2000 24.3000 
56778 1957 2 11.2000 809.1000 9.0000 6.3000 59.0000 226.1000 8.1000 
56778 1957 3 14.1000 810.1000 13.4000 8.2000 57.0000 288.8000 6.2000 
56778 1957 4 24.1000 809.4000 17.1000 9.6000 53.0000 269.9000 8.8000 
56778 1957 5 62.8000 807.9000 19.5000 11.6000 54.0000 272.2000 20.6000 
56778 1957 6 319.5000 807.5000 18.4000 17.2000 81.0000 119.5000 85.0000 
56778 1957 7 210.4000 806.9000 20.2000 19.4000 83.0000 124.1000 82.2000 
56778 1957 8 198.6000 809.1000 18.9000 17.8000 82.0000 186.3000 39.3000 
56778 1957 9 306.1000 811.8000 17.7000 17.2000 86.0000 155.4000 153.3000 
56778 1957 10 83.8000 814.3000 13.5000 12.2000 80.0000 182.4000 16.6000 
56778 1957 11 4.2000 813.7000 12.0000 9.1000 68.0000 271.2000 4.2000 
56778 1957 12 35.6000 812.1000 9.2000 7.5000 68.0000 251.3000 35.6000 
56778 1958 1 3.6000 812.8000 8.1000 6.5000 64.0000 238.8000 2.7000 
56778 1958 2 7.9000 810.8000 7.6000 6.7000 68.0000 160.0000 3.7000 
56778 1958 3 5.5000 810.4000 14.7000 7.3000 47.0000 287.2000 5.5000 
56778 1958 4 2.0000 810.0000 17.7000 10.2000 54.0000 281.3000 0.6000 
56778 1958 5 13.5000 808.3000 20.8000 12.9000 55.0000 280.8000 8.7000 
56778 1958 6 255.7000 807.4000 20.1000 17.7000 77.0000 142.1000 52.6000 
56778 1958 7 271.3000 806.7000 19.5000 19.0000 85.0000 133.7000 36.6000 
56778 1958 8 180.2000 809.4000 18.5000 18.1000 86.0000 119.5000 43.1000 
56778 1958 9 88.7000 811.0000 17.2000 15.5000 80.0000 174.7000 34.1000 
56778 1958 10 33.3000 814.2000 14.2000 13.6000 83.0000 113.1000 8.7000 
56778 1958 11 10.7000 814.4000 11.0000 9.6000 75.0000 195.0000 4.7000 
56778 1958 12 3.6000 813.1000 8.3000 7.3000 70.0000 200.4000 2.2000 
56778 1959 1 17.9000 812.0000 7.3000 6.7000 68.0000 211.6000 12.4000 
56778 1959 2 41.9000 809.7000 8.3000 6.7000 66.0000 195.9000 999812.2000 
56778 1959 3 14.3000 811.4000 11.8000 8.5000 65.0000 263.3000 5.3000 
56778 1959 4 12.5000 810.0000 17.0000 10.6000 59.0000 258.2000 8.2000 
56778 1959 5 106.6000 808.3000 18.4000 13.6000 67.0000 222.9000 19.3000 
56778 1959 6 126.3000 807.3000 20.0000 18.0000 78.0000 201.1000 25.2000 
56778 1959 7 182.4000 807.8000 19.7000 18.5000 81.0000 194.0000 68.1000 
56778 1959 8 213.1000 807.3000 19.4000 18.8000 84.0000 209.7000 110.4000 
56778 1959 9 176.2000 811.1000 16.8000 15.8000 83.0000 154.0000 30.3000 
56778 1959 10 78.6000 814.0000 14.5000 13.5000 83.0000 137.2000 16.3000 
56778 1959 11 0.0000 812.6000 11.4000 9.1000 71.0000 288.6000 0.0000 
56778 1959 12 18.3000 812.9000 9.5000 7.8000 70.0000 257.4000 15.9000 
56778 1960 1 6.6000 812.4000 8.2000 6.5000 65.0000 250.8000 2.8000 
56778 1960 2 0.8000 812.8000 9.8000 7.4000 66.0000 201.1000 0.3000 
56778 1960 3 4.0000 809.3000 13.9000 7.2000 50.0000 299.0000 4.0000 
56778 1960 4 4.2000 809.3000 16.7000 8.9000 52.0000 267.9000 3.7000 
56778 1960 5 47.1000 808.6000 19.2000 12.6000 59.0000 244.2000 13.6000 
56778 1960 6 94.2000 808.0000 20.1000 17.8000 76.0000 181.1000 28.7000 
56778 1960 7 321.1000 808.1000 19.0000 18.5000 85.0000 133.0000 79.7000 
56778 1960 8 79.4000 808.4000 19.8000 18.6000 81.0000 239.2000 23.1000 
56778 1960 9 104.8000 811.9000 17.8000 16.4000 81.0000 194.7000 34.3000 
56778 1960 10 28.0000 814.9000 15.0000 13.6000 80.0000 159.5000 11.7000 
56778 1960 11 24.6000 813.7000 12.1000 9.3000 69.0000 246.3000 23.2000 
56778 1960 12 2.4000 812.9000 8.6000 8.0000 74.0000 202.8000 1.4000 
56778 1961 1 3.7000 813.0000 8.5000 6.7000 65.0000 250.2000 2.6000 
56778 1961 2 29.5000 809.2000 9.2000 7.5000 68.0000 173.2000 15.4000 
56778 1961 3 24.7000 810.9000 12.4000 8.2000 61.0000 264.3000 7.5000 
56778 1961 4 16.9000 809.7000 16.2000 10.0000 58.0000 291.3000 6.4000 
56778 1961 5 92.1000 809.7000 18.6000 13.3000 65.0000 214.8000 32.6000 
56778 1961 6 139.7000 808.0000 20.1000 17.3000 74.0000 245.7000 38.5000 
56778 1961 7 296.1000 807.1000 20.0000 19.2000 83.0000 173.5000 68.1000 
56778 1961 8 172.1000 808.4000 19.2000 18.8000 85.0000 193.6000 39.4000 
56778 1961 9 158.5000 810.8000 17.5000 16.2000 82.0000 208.2000 44.2000 
56778 1961 10 202.5000 813.7000 16.2000 14.9000 82.0000 187.8000 85.3000 
56778 1961 11 79.6000 814.8000 10.9000 9.5000 75.0000 227.1000 27.7000 
56778 1961 12 39.4000 812.9000 7.5000 7.3000 73.0000 222.2000 20.9000 
56778 1962 1 15.0000 811.6000 5.9000 7.0000 77.0000 174.1000 999810.8000 
56778 1962 2 4.5000 812.5000 9.5000 7.6000 68.0000 233.3000 3.4000 
56778 1962 3 7.3000 810.9000 11.7000 7.8000 61.0000 250.7000 3.1000 
56778 1962 4 37.0000 809.9000 16.5000 10.3000 58.0000 276.6000 11.4000 
56778 1962 5 47.4000 808.8000 19.1000 13.4000 63.0000 277.7000 17.8000 
56778 1962 6 209.4000 808.1000 18.9000 17.1000 79.0000 106.9000 44.3000 
56778 1962 7 212.6000 807.1000 20.5000 19.8000 83.0000 212.4000 42.8000 
56778 1962 8 232.7000 810.4000 18.8000 18.5000 86.0000 143.7000 52.2000 
56778 1962 9 63.4000 812.5000 17.4000 15.9000 81.0000 200.7000 16.7000 
56778 1962 10 56.3000 814.2000 15.3000 14.3000 83.0000 161.4000 10.8000 
56778 1962 11 0.4000 813.6000 11.1000 9.2000 72.0000 238.3000 0.2000 
56778 1962 12 2.3000 813.8000 7.6000 7.0000 70.0000 231.6000 1.7000 
56778 1963 1 11.1000 813.1000 5.2000 6.0000 71.0000 183.2000 999806.6000 
56778 1963 2 1.3000 812.5000 8.6000 6.4000 62.0000 239.6000 1.0000 
56778 1963 3 6.1000 811.0000 12.3000 7.8000 58.0000 287.0000 2.9000 
56778 1963 4 0.5000 809.9000 16.3000 8.8000 51.0000 295.6000 0.4000 
56778 1963 5 12.7000 808.0000 20.7000 12.2000 53.0000 335.9000 8.5000 
56778 1963 6 141.4000 809.2000 19.1000 16.7000 76.0000 181.4000 42.2000 
56778 1963 7 274.0000 807.3000 19.9000 19.3000 83.0000 153.8000 85.4000 
56778 1963 8 176.5000 809.4000 18.8000 18.7000 87.0000 188.3000 30.0000 
56778 1963 9 72.7000 811.8000 18.4000 17.4000 83.0000 240.9000 43.7000 
56778 1963 10 147.0000 815.4000 13.9000 13.5000 85.0000 121.0000 33.8000 
56778 1963 11 31.3000 814.0000 11.1000 9.8000 77.0000 247.7000 10.6000 
56778 1963 12 8.8000 813.5000 7.7000 7.5000 74.0000 234.1000 999807.5000 
56778 1964 1 1.8000 810.2000 7.9000 6.3000 63.0000 280.9000 1.8000 
56778 1964 2 12.9000 811.2000 9.0000 7.1000 67.0000 243.4000 999804.1000 
56778 1964 3 24.1000 811.3000 12.2000 8.1000 61.0000 307.5000 999822.0000 
56778 1964 4 26.4000 809.3000 16.9000 10.5000 58.0000 275.9000 999822.5000 
56778 1964 5 163.2000 810.0000 18.2000 15.5000 75.0000 199.3000 61.2000 
56778 1964 6 126.7000 807.1000 19.6000 17.9000 79.0000 160.8000 24.6000 
56778 1964 7 332.2000 808.2000 19.4000 18.7000 84.0000 161.9000 87.8000 
56778 1964 8 215.3000 808.0000 19.3000 18.8000 85.0000 198.9000 52.6000 
56778 1964 9 57.2000 811.3000 18.3000 17.7000 85.0000 200.7000 19.9000 
56778 1964 10 57.5000 813.2000 16.2000 15.3000 84.0000 169.5000 12.5000 
56778 1964 11 12.9000 814.7000 11.3000 10.7000 80.0000 153.8000 4.2000 
56778 1964 12 7.6000 813.3000 6.5000 7.4000 78.0000 183.1000 999806.1000 
56778 1965 1 19.8000 812.2000 6.8000 6.7000 72.0000 236.9000 999812.1000 
56778 1965 2 11.5000 810.2000 9.6000 6.9000 63.0000 239.9000 999804.8000 
56778 1965 3 3.2000 810.8000 12.0000 7.4000 58.0000 297.5000 1.6000 
56778 1965 4 15.1000 809.0000 16.4000 9.8000 56.0000 287.2000 12.2000 
56778 1965 5 102.1000 809.8000 18.5000 13.3000 65.0000 224.4000 31.2000 
56778 1965 6 227.2000 808.0000 19.2000 17.8000 81.0000 114.7000 61.2000 
56778 1965 7 106.4000 807.8000 19.7000 18.5000 81.0000 188.3000 21.7000 
56778 1965 8 239.9000 810.3000 17.9000 17.4000 85.0000 159.3000 42.6000 
56778 1965 9 133.5000 812.2000 17.2000 16.4000 84.0000 116.6000 23.2000 
56778 1965 10 293.4000 814.4000 14.7000 14.6000 88.0000 138.8000 48.7000 
56778 1965 11 12.3000 815.6000 10.8000 9.3000 74.0000 237.0000 9.2000 
56778 1965 12 34.2000 813.4000 9.4000 9.2000 78.0000 187.3000 999813.3000 
56778 1966 1 7.8000 812.6000 9.2000 7.5000 68.0000 274.8000 3.0000 
56778 1966 2 1.8000 810.7000 10.4000 7.4000 62.0000 271.8000 1.8000 
56778 1966 3 0.5000 808.2000 13.6000 8.3000 57.0000 302.4000 0.3000 
56778 1966 4 0.1000 808.3000 17.5000 9.3000 50.0000 318.1000 0.1000 
56778 1966 5 87.7000 809.1000 18.4000 14.6000 71.0000 211.9000 27.9000 
56778 1966 6 304.7000 808.4000 18.3000 17.4000 83.0000 103.3000 999847.6000 
